PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] IBM_1.raw.PG.Quantity,[2] IBM_2.raw.PG.Quantity,[3] IBM_3.raw.PG.Quantity,[4] IBM_4.raw.PG.Quantity,[5] IBM_5.raw.PG.Quantity,[6] IBM_6.raw.PG.Quantity,[7] IBM_7.raw.PG.Quantity,[8] IBM_8.raw.PG.Quantity,[9] IBM_9.raw.PG.Quantity,[10] IBM_10.raw.PG.Quantity,[11] IBM_11.raw.PG.Quantity,[12] IBM_12.raw.PG.Quantity,[13] IBM_13.raw.PG.Quantity,[14] IBM_14.raw.PG.Quantity,[15] IBM_15.raw.PG.Quantity,[16] IBM_16.raw.PG.Quantity,[17] IBM_17.raw.PG.Quantity,[18] IBM_CTRL_1.raw.PG.Quantity,[19] IBM_CTRL_2.raw.PG.Quantity,[20] IBM_CTRL_3.raw.PG.Quantity,[21] IBM_CTRL_4.raw.PG.Quantity
O15069,NACAD,NAC-alpha domain-containing protein 1,774276.125,NaN,695042.8125,798687.1875,803927.5,603164.8125,573824.75,745842.1875,639874.0625,875322.3125,676320.8125,997035.8125,524430.0625,665526.4375,843172.125,610428.625,762838.5,453082.59375,680524.0625,655583.1875,620916.75
O15075,DCLK1,Serine/threonine-protein kinase DCLK1,210974,60128.3515625,332460.9375,167322.15625,82474.8984375,123028.546875,82507.5703125,204396.421875,120654.515625,326574.0625,65222.44921875,297141.625,109595.4765625,34905.765625,91541.6328125,102511.0703125,31989.1015625,24622.744140625,14208.498046875,13425.3359375,9307.9111328125
O15078,CEP290,Centrosomal protein of 290 kDa,3711.57958984375,4991.658203125,1879.7501220703125,NaN,NaN,3179.285888671875,5877.13134765625,NaN,NaN,1119.9901123046875,2412.763427734375,832.63818359375,2954.59765625,4050.8232421875,NaN,3661.682861328125,NaN,NaN,NaN,NaN,NaN
O15084,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,18942.330078125,NaN,NaN,NaN,NaN,46636.76953125,20643.373046875,12357.1396484375,12442.3623046875,2447.37744140625,14819.490234375,15632.166015625,9814.7216796875,NaN,23684.783203125,NaN,35773.98828125,NaN,9974.65625,NaN,NaN
O15085,ARHGEF11,Rho guanine nucleotide exchange factor 11,5973.36181640625,5667.85693359375,6684.16162109375,2684.76416015625,5964.228515625,4169.00634765625,5397.38134765625,6088.53759765625,6033.93017578125,7610.4404296875,3307.24365234375,8965.466796875,4643.54638671875,4274.86083984375,3051.082275390625,3243.396484375,3270.642333984375,3360.397216796875,2567.16748046875,3849.7509765625,3173.936767578125
O15091,PRORP,Mitochondrial ribonuclease P catalytic subunit,6773.16943359375,9780.6875,9823.619140625,18561.5390625,14514.2724609375,7305.92724609375,9410.869140625,7677.83935546875,6905.41162109375,10981.302734375,11384.0478515625,8217.62109375,9696.341796875,6612.21484375,5223.78759765625,9282.83984375,7261.47412109375,4974.95458984375,8501.58203125,4569.25439453125,7574.0302734375
O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,26693.578125,17931.517578125,27654.86328125,24873.630859375,22539.80078125,18725.68359375,16797.015625,20654.87109375,16937.18359375,29845.3203125,16601.2109375,21374.33203125,18113.4140625,17326.79296875,15072.1494140625,12969.3662109375,12718.0869140625,10346.6689453125,12155.888671875,14094.38671875,10073.275390625
O15117,FYB1,FYN-binding protein 1,76355.75,2669.698486328125,87809.9296875,25478.359375,6528.13232421875,51808.23828125,62737.95703125,47255.37109375,32970.921875,85712.5625,54779.71875,52874.71484375,34516.5,13879.318359375,28539.408203125,NaN,13794.0078125,NaN,31697.822265625,NaN,NaN
O15118,NPC1,NPC intracellular cholesterol transporter 1,21617.0078125,NaN,11073.4345703125,18305.833984375,NaN,10404.7470703125,18911.13671875,8007.9013671875,10849.5869140625,22204.89453125,6288.3642578125,27251.48828125,NaN,7123.71826171875,12671.9658203125,NaN,14148.34375,NaN,11102.0537109375,NaN,NaN
O15120,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,82720.203125,61814.04296875,97988.375,91740.59375,75419.6484375,121748.15625,89303.1875,196523.96875,121316.46875,65466.65625,54742.046875,210007.75,74237.3359375,68418.5078125,46861.515625,37109.1796875,50893.87890625,147843.0625,68388.8203125,50866.5234375,54652.87109375
O15121,DEGS1,Sphingolipid delta(4)-desaturase DES1,7894.638671875,NaN,7541.68408203125,NaN,NaN,5879.14453125,5632.06591796875,8104.84033203125,5310.81787109375,11865.66015625,3816.257080078125,7465.02197265625,3428.497802734375,3969.794921875,7153.2724609375,9317.5712890625,4408.2841796875,4311.240234375,17582.94140625,NaN,6935.22216796875
O15126,SCAMP1,Secretory carrier-associated membrane protein 1,17265.091796875,NaN,11199.484375,6422.90625,63576.40234375,8757.5634765625,19578.72265625,24595.8515625,23894.37109375,28321.115234375,NaN,19883.0703125,26300.271484375,18249.208984375,9749.1962890625,17876.94140625,NaN,12693.7294921875,NaN,11606.13671875,NaN
O15127,SCAMP2,Secretory carrier-associated membrane protein 2,49860.50390625,NaN,74600.9609375,NaN,NaN,25414.380859375,2516.658447265625,52647.046875,15221.80859375,54925.671875,NaN,105361.0859375,7597.2265625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B,154619.0625,41081.4140625,219367.6875,89320.84375,53336.3359375,80823.8828125,89773.65625,134861.046875,98490.65625,215182.53125,45177.328125,170163.484375,81426.3671875,30459.19140625,48478.6015625,63558.01171875,25249.201171875,26699.568359375,10621.935546875,16634.103515625,12363.734375
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,420770.78125,166430.515625,464654.125,241642.984375,199449.78125,255023.609375,332271.5,379223.53125,303935.09375,607863.4375,200760.578125,576189.375,242984.09375,130588.984375,207628.75,197272.78125,126368.65625,108893.1953125,82737.5390625,89301.9765625,78911.1484375
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3,103385.609375,63733.25390625,141807.71875,72110.46875,76035.21875,105916.765625,56611.15625,106457.953125,76517.171875,168969.203125,45740.45703125,121514.7265625,97104.2265625,62368.359375,45389.15234375,77009.046875,52596.49609375,38841.8984375,34114.55078125,38423.625,22509.962890625
O15155,BET1,BET1 homolog,NaN,4906.798828125,NaN,4798.62890625,NaN,7868.1943359375,NaN,NaN,NaN,8843.7998046875,NaN,20198.265625,19358.2734375,NaN,NaN,NaN,5456.6796875,NaN,7635.93017578125,8385.2529296875,NaN
O15160,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,20249.642578125,4948.515625,11683.9013671875,24823.390625,43818.2265625,4641.74951171875,30935.65234375,24422.923828125,17555.083984375,34933.06640625,NaN,28387.58203125,24073.1171875,NaN,NaN,21292.935546875,NaN,NaN,17600.908203125,NaN,5138.560546875
O15162,PLSCR1,Phospholipid scramblase 1,19647.50390625,NaN,14381.1806640625,NaN,NaN,5197.17724609375,14149.0185546875,8528.9365234375,4822.6005859375,27411.9140625,28039.02734375,17994.0625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15173,PGRMC2,Membrane-associated progesterone receptor component 2,50236.484375,78946.6015625,61951.6953125,44517.1875,44624.16015625,114548.6328125,55523.12890625,69889.734375,65741.6640625,68346.09375,58623.65625,90370.5,84821.234375,122498.328125,66632.1171875,78999.375,118836.1640625,106425.8671875,79089.5703125,101327.625,73507.1875
O15211,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,24109.71875,24179.423828125,24904.083984375,23474.115234375,23901.021484375,25833.517578125,24699.609375,26984.95703125,22501.314453125,20869.025390625,22957.73046875,24058.16015625,27021.56640625,26044.970703125,20657.5546875,30183.392578125,29836.9453125,18866.7734375,24045.798828125,15196.072265625,29603
O15228,GNPAT,Dihydroxyacetone phosphate acyltransferase,9082.4404296875,12318.71875,9660.5751953125,10766.0712890625,12983.1142578125,8377.5205078125,8824.0849609375,11589.6337890625,9391.1376953125,9302.41796875,9655.697265625,7845.8701171875,12401.6884765625,7875.34033203125,9332.4033203125,8189.1650390625,8104.71875,4649.294921875,11824.595703125,8317.0263671875,9113.4892578125
O15230,LAMA5,Laminin subunit alpha-5,217994.21875,177021.09375,287277.125,181011.078125,97079.3515625,92927.9765625,77787.6171875,338400.875,330007.9375,548728.6875,81174.1953125,1106480.125,123472.6640625,48068.20703125,52123.22265625,428446.40625,67149.6796875,234278.25,53550.72265625,52210.53125,80896.8203125
O15231,ZNF185,Zinc finger protein 185,11175.1591796875,NaN,5818.2470703125,0.8518452644348145,409.8779602050781,1564.2769775390625,NaN,3575.848388671875,458.760009765625,4849.3896484375,1502.6849365234375,15901.080078125,NaN,1330.856201171875,NaN,NaN,NaN,NaN,1200.27392578125,NaN,NaN
O15235,MRPS12,"28S ribosomal protein S12, mitochondrial",70442.1328125,NaN,17112.7890625,NaN,NaN,15642.0087890625,45586.25,21192.98828125,35433.609375,31458.744140625,NaN,23556.869140625,NaN,NaN,NaN,57146.36328125,39098.73828125,NaN,NaN,NaN,28214.58203125
O15247,CLIC2,Chloride intracellular channel protein 2,164306.171875,28194.154296875,101373.7578125,46572.14453125,35073.69140625,69353.0703125,73730.5,107973.8828125,77797.6875,130476.7578125,35267.51953125,126438.875,56742.0234375,22874.802734375,33544.1875,45523.97265625,45675.50390625,22739.095703125,19018.50390625,10891.4619140625,25988.71484375
O15254,ACOX3,Peroxisomal acyl-coenzyme A oxidase 3,5700.62646484375,2532.67431640625,12770.376953125,6296.93408203125,9322.1796875,3015.365966796875,5685.921875,8924.7685546875,7582.5107421875,11903.9951171875,6415.28857421875,9953.0859375,6201.693359375,1645.3865966796875,4294.16943359375,3149.034423828125,3109.379638671875,2258.394775390625,3892.31396484375,NaN,1115.0863037109375
O15258,RER1,Protein RER1,83664.484375,68255.7578125,122526.5390625,108168.5625,100119.890625,88743.03125,62242.94140625,100087.5,76569.3125,105667.890625,55068.42578125,110140.234375,84621.125,54672.3671875,62338.65234375,65030.609375,66676.21875,51405.5,40961.15625,49702.3671875,56062.3046875
O15260,SURF4,Surfeit locus protein 4,172337.953125,87985.4375,186831.515625,149595.03125,111775.1796875,106040.4375,118690.625,143551.9375,134686.75,202626.390625,89654.375,268710.40625,115544.1015625,88466.0546875,93615.75,113887.5078125,116801.109375,140727.59375,80271,104615.125,138001.1875
O15264,MAPK13,Mitogen-activated protein kinase 13,2819.200927734375,NaN,6569.515625,NaN,NaN,NaN,NaN,640.3104858398438,189.7671661376953,11156.26953125,NaN,3291.003173828125,6767.11083984375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15269,SPTLC1,Serine palmitoyltransferase 1,20536.298828125,NaN,17818.09765625,17791.74609375,18684.705078125,2037.8809814453125,15016.5517578125,34309.921875,10179.4892578125,27031.14453125,NaN,46660.13671875,6640.9169921875,NaN,5153.89501953125,NaN,NaN,NaN,NaN,NaN,NaN
O15270,SPTLC2,Serine palmitoyltransferase 2,14249.591796875,NaN,10398.7021484375,12764.8544921875,1144.01953125,2488.473876953125,6917.67333984375,8747.1298828125,1473.5643310546875,6278.86962890625,NaN,11375.6103515625,6096.0556640625,NaN,NaN,NaN,NaN,NaN,NaN,773.1743774414062,NaN
O15273,TCAP,Telethonin,784105.1875,1090368.5,587007.625,953809.8125,1244159.875,860401.8125,1251166.5,957873.6875,973547.125,499441.59375,968066.4375,161956.84375,1132782.875,1393516.375,997603.125,1633105.375,1080891.625,2368637.25,1462665,1907502.125,1771489.75
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,9113.9248046875,20012.3515625,15150.7783203125,12545.5888671875,16060.845703125,12765.8291015625,11607.9599609375,13296.943359375,7316.81396484375,12524.52734375,9432.9560546875,7959.0166015625,14713.30859375,16182.513671875,13390.5791015625,8012.90771484375,12038.8017578125,8073.96337890625,8414.29296875,8235.740234375,6909.2158203125
O15305,PMM2,Phosphomannomutase 2,78232.171875,78611.2265625,70820.046875,34090.8671875,34103.0078125,56207.015625,61750.9921875,67418.953125,46302.90234375,97307.015625,34464.4375,71252.3125,52745.94140625,61198.57421875,61109.73828125,79541.859375,32929.77734375,36233.63671875,43784.46875,62750.97265625,49122.1171875
O15321,TM9SF1,Transmembrane 9 superfamily member 1,26493.52734375,NaN,48701.89453125,58549.3984375,74775.0234375,16058.08203125,15438.849609375,30430.24609375,42167.16015625,30160.451171875,58078.99609375,44518.5546875,24307.552734375,21131.7578125,31576.23046875,24600.06640625,NaN,NaN,NaN,NaN,NaN
O15327,INPP4B,Inositol polyphosphate 4-phosphatase type II,15886.875,13841.7099609375,22933.365234375,10381.1962890625,9312.931640625,10796.1435546875,12737.482421875,15959.873046875,13041.638671875,18935.158203125,12189.35546875,19521.779296875,12094.396484375,11553.99609375,8875.828125,12116.1845703125,8198.205078125,8413.51171875,14171.1611328125,5082.83251953125,6836.37939453125
O15335,CHAD,Chondroadherin,NaN,2649.331298828125,4946.95458984375,5352.68798828125,NaN,12312.3203125,NaN,6751.4013671875,5037.97314453125,28577.140625,NaN,52327.16796875,16581.1875,NaN,NaN,22181.888671875,18340.86328125,9564.7666015625,NaN,NaN,8470.9912109375
O15347,HMGB3,High mobility group protein B3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60762.8359375,NaN,122577.84375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15355,PPM1G,Protein phosphatase 1G,46367.6953125,9014.5419921875,26182.310546875,22554.125,18559.92578125,21551.708984375,15360.931640625,25947.775390625,15332.8837890625,25462.1640625,8795.6748046875,49082.05859375,18912.486328125,14176.560546875,14637.8916015625,12112.380859375,1634.5489501953125,12686.7392578125,3904.240478515625,7999.94091796875,NaN
O15357,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",39639.69921875,34977.390625,49232.6796875,44053.2890625,41276.95703125,42115.9375,34788.1328125,37069.390625,29434.083984375,43204.5859375,32603.576171875,27295.212890625,34134.546875,36654.1875,38408.640625,36040.55859375,30685.85546875,24718.6953125,29411.921875,32355.837890625,24930.2890625
O15371,EIF3D,Eukaryotic translation initiation factor 3 subunit D,253201.875,224209.734375,254892.140625,223788.578125,203423.265625,190015.421875,159678.84375,199222.40625,199050.53125,272675.03125,193043.6875,321810.875,214612.546875,172987.328125,185502.359375,177981.609375,170587.53125,128224.84375,196913.5625,156093.265625,170735.5625
O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,192495.53125,170214.125,194800.421875,174576.828125,176910.34375,143721.890625,148393.578125,151098.203125,132112.53125,175326.5625,127287.5,225248.796875,126403.796875,126215.0625,140065.25,121302.296875,123560.671875,90131.9453125,127304.796875,116745.4453125,106678.734375
O15379,HDAC3,Histone deacetylase 3,15202.94140625,NaN,18358.720703125,NaN,NaN,NaN,NaN,12155.0888671875,12525.7734375,14330.4091796875,7865.91796875,16388.759765625,14835.7734375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",575301.4375,343407.59375,555352.375,392851.3125,500526.28125,514993.09375,663584.6875,728992.25,612974.4375,681847.5,491021.90625,397456.84375,638797.9375,537456.4375,518949.1875,557120.625,461711.1875,418052.15625,443094,249901,412123.03125
O15397,IPO8,Importin-8,NaN,817.0807495117188,1193.267578125,507.49212646484375,236.2686004638672,993.7861328125,NaN,315.3049621582031,489.4436340332031,2672.46484375,3312.650146484375,NaN,1672.7373046875,NaN,NaN,1082.2718505859375,NaN,NaN,NaN,NaN,NaN
O15400,STX7,Syntaxin-7,48044.38671875,43532.75,62333.69140625,50242.15234375,43651.2109375,48542.6640625,45076.171875,72877.8828125,61269.9453125,74981.8046875,35908.98046875,139533.859375,40422.89453125,44717.62890625,35029.828125,26479.779296875,27862.83984375,33022.61328125,16691.35546875,22542.31640625,24202.12109375
O15427,SLC16A3,Monocarboxylate transporter 4,32264.435546875,185372.109375,18753.2109375,18850.513671875,210666.234375,15203.4921875,31124.572265625,32607.34765625,18465.646484375,27110.857421875,92128.6953125,34536.00390625,18559.791015625,72348.171875,28973.68359375,37436.94140625,113132.3046875,73532.25,87305.3046875,102507.71875,49799.359375
O15439,ABCC4,Multidrug resistance-associated protein 4,14244.2802734375,NaN,11952.3466796875,9867.6337890625,NaN,12905.4775390625,9644.111328125,10384.3251953125,NaN,12457.9716796875,11256.5498046875,23401.63671875,16757.8671875,9922.466796875,11942.353515625,17146.623046875,13433.005859375,13913.27734375,6425.9853515625,19900.09375,4344.732421875
O15446,POLR1G,DNA-directed RNA polymerase I subunit RPA34,16751.650390625,NaN,15469.986328125,9513.1689453125,NaN,NaN,7582.7861328125,6137.11669921875,54804.859375,17862.33203125,12530.03515625,36586.70703125,10346.759765625,5716.87451171875,12428.37109375,19530.572265625,NaN,NaN,6871.71630859375,NaN,NaN
O15455,TLR3,Toll-like receptor 3,4119.26416015625,NaN,11555.1591796875,17744.806640625,NaN,16720.734375,2306.744140625,3947.46533203125,2551.786376953125,8783.765625,12470.7685546875,16224.7724609375,NaN,NaN,NaN,3190.6005859375,NaN,NaN,NaN,1.1060080528259277,NaN
O15460,P4HA2,Prolyl 4-hydroxylase subunit alpha-2,4966.62255859375,8837.111328125,15971.89453125,3216.166748046875,3348.50634765625,6814.677734375,10636.0009765625,14116.228515625,7006.86865234375,18688.533203125,10291.232421875,3909.676513671875,2804.7373046875,4369.90185546875,9078.0732421875,7814.43994140625,4187.09423828125,NaN,NaN,NaN,NaN
O15484,CAPN5,Calpain-5,21107.623046875,11967.4697265625,23820.826171875,31368.40234375,19402.72265625,6869.4521484375,13538.1201171875,16951.3203125,26572.5,37283.5078125,10995.052734375,54677.22265625,9008.927734375,NaN,15127.875,13512.20703125,6342.822265625,6975.95849609375,5898.833984375,NaN,2807.513916015625
O15488,GYG2,Glycogenin-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5626.73779296875,NaN,NaN,NaN,18675.166015625,7448.3173828125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O15498,YKT6,Synaptobrevin homolog YKT6,152546.328125,107246.1484375,122902.0234375,142526.5625,91142.921875,108286.6171875,113330.890625,121540.390625,108888.375,129474.9765625,100562.1484375,175385.140625,99029.9609375,121034.515625,113681.5859375,91464.8046875,99418.3125,97393.65625,77197.890625,125313.8125,95338.21875
O15504,NUP42,Nucleoporin NUP42,2943.537841796875,NaN,2697.9990234375,NaN,NaN,592.6493530273438,NaN,3537.24462890625,1953.3974609375,3500.88818359375,NaN,NaN,2117.67431640625,NaN,NaN,793.9402465820312,NaN,NaN,615.9594116210938,NaN,2559.47998046875
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5,193676.21875,31016.4453125,115938.4453125,42894.609375,65471.84375,33987.2109375,114793.0234375,184963.90625,159032.796875,233403.640625,68505.6484375,223356.59375,114871.4921875,75522.3984375,45960.9921875,47986.390625,NaN,NaN,NaN,NaN,NaN
O15519,CFLAR,CASP8 and FADD-like apoptosis regulator,8104.2822265625,7304.298828125,6825.99267578125,5350.9150390625,8116.712890625,6273.62353515625,11066.392578125,8987.01953125,6386.046875,7721.64501953125,8093.50634765625,6271.8916015625,6561.3232421875,8200.0576171875,7195.43115234375,6191.10302734375,4678.28173828125,5072.63427734375,4931.47900390625,4698.23046875,4030.1806640625
O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,46100.16796875,32456.369140625,33674.90234375,27245.091796875,21864.798828125,NaN,NaN,46279.1171875,34127.5,56117.88671875,36442.2109375,60485.20703125,NaN,38031.60546875,31897.466796875,29613.9296875,30971.380859375,NaN,22882.53515625,NaN,32961.328125
O15530;Q6A1A2,PDPK1;PDPK2P,3-phosphoinositide-dependent protein kinase 1;Putative 3-phosphoinositide-dependent protein kinase 2,24296.359375,19150.240234375,19801.556640625,10752.0849609375,12245.6328125,15831.3388671875,15202.0234375,14844.470703125,11519.8896484375,18286.025390625,11406.4296875,18887.65625,23219.0859375,17202.849609375,14922.015625,12903.5927734375,17569.076171875,10115.888671875,12664.38671875,13217.1513671875,9651.6435546875
O15533,TAPBP,Tapasin,736396.125,157955.75,318554.75,200075.09375,159470.359375,774751.4375,459024.53125,277621.5,341913.21875,578009.25,186771.984375,168738,578396.0625,491757.5,307757.9375,420570.125,328412.84375,51639.234375,30675.5703125,28124.228515625,31583.451171875
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,52124.91796875,25997.21875,71968.375,50199.67578125,38080.83203125,28353.048828125,33259.1484375,51168.390625,45601.8515625,78705.1328125,29998.595703125,110959.8359375,33628.9140625,19170.94140625,29898.0546875,23183.09765625,17686.353515625,18628.263671875,18026.142578125,17292.466796875,19904.740234375
O43148,RNMT,mRNA cap guanine-N7 methyltransferase,48304.8515625,31941.072265625,47987.42578125,34454.32421875,23439.958984375,22191.568359375,25204.796875,39602.2109375,29183.19921875,56893.98046875,22094.869140625,70273.90625,18917.318359375,19552.064453125,19979.21484375,29948.8984375,NaN,10341.958984375,12413.0390625,15382.1884765625,10792.55859375
O43149,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,12258.8125,10347.7685546875,13132.466796875,9985.478515625,9053.365234375,11338.455078125,10321.3662109375,11144.0263671875,9536.484375,16637.974609375,6614.31494140625,13288.7021484375,11283.6044921875,7842.10986328125,10447.5322265625,9113.484375,8697.98828125,9755.861328125,7894.791015625,7688.40087890625,6433.9853515625
O43150,ASAP2,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",NaN,NaN,6126.32568359375,NaN,NaN,NaN,NaN,4131.46630859375,NaN,9906.908203125,NaN,15343.904296875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43151,TET3,Methylcytosine dioxygenase TET3,5745.220703125,NaN,2912.906005859375,NaN,NaN,8192.0576171875,3115.02490234375,37609.72265625,13785.4990234375,2588.88037109375,885.6919555664062,3.7287793159484863,3.5265281200408936,2980.0908203125,NaN,2607.21533203125,25528.43359375,17785.896484375,9028.73828125,NaN,439.2091369628906
O43155,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,NaN,NaN,22585.1640625,NaN,NaN,NaN,1.6824475526809692,5295.58837890625,8017.271484375,42456.2734375,NaN,13152.8173828125,NaN,NaN,644.6078491210938,4242.35205078125,NaN,NaN,NaN,NaN,NaN
O43156,TTI1,TELO2-interacting protein 1 homolog,NaN,2424.90771484375,1776.8211669921875,NaN,1174.049560546875,1657.57763671875,NaN,NaN,1746.4130859375,2398.917236328125,NaN,NaN,918.2747802734375,2530.468994140625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43157,PLXNB1,Plexin-B1,8973.19140625,NaN,2737.28173828125,NaN,NaN,NaN,2625.58251953125,4255.314453125,5606.4541015625,4034.328857421875,NaN,3196.351806640625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
O43159,RRP8,Ribosomal RNA-processing protein 8,112387.6328125,9616.927734375,101008.890625,70009.3359375,70070.6015625,33375.29296875,34659.703125,32856.4453125,63541.65625,67184.8828125,11199.7939453125,93962.21875,96905.09375,34688.08984375,19820.13671875,38607.875,18831.142578125,54.54539489746094,10484.4072265625,50541.37109375,NaN
O43166,SIPA1L1,Signal-induced proliferation-associated 1-like protein 1,6487.09765625,NaN,6624.1728515625,NaN,NaN,NaN,NaN,6646.40087890625,3023.181884765625,2072.2578125,NaN,NaN,1529.331787109375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4026.56103515625
O43169,CYB5B,Cytochrome b5 type B,52952.76953125,59548.46875,55441.33203125,49494.93359375,72929.734375,50529.8046875,42880.140625,49074.48828125,63815.91796875,43051.79296875,27782.08984375,53063.4375,71852.6171875,64793.015625,58394.1953125,35195.09765625,64882.59765625,41665.1328125,54629.0859375,55525.9140625,46354.1875
O43172,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,24680.158203125,7200.99169921875,20276.314453125,9936.0546875,26484.57421875,12939.5205078125,17756.458984375,20462.2890625,15571.98828125,17823.458984375,10139.880859375,15572.662109375,17386.11328125,10111.5205078125,35924.47265625,15589.9111328125,9372.6572265625,10038.6728515625,7788.064453125,4196.63330078125,8665.822265625
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,155245.421875,78552.46875,135930.015625,66051.2109375,73487.9140625,73063.015625,57306.1640625,214356.625,250931.5625,335507.4375,47160.53125,789869.6875,97164.1328125,34564.35546875,47610.015625,58764.79296875,33908.2890625,132466.703125,18929.958984375,39492.47265625,48630.83984375
O43181,NDUFS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",279646.625,555085.0625,237283.171875,349807,745569.625,364406.03125,789672.4375,345458.75,330373.53125,177061,1045405.125,190155.015625,524591.875,583138.25,650600.625,613505.25,904956,667525.9375,974490.375,488549.65625,777345.6875
O43182,ARHGAP6,Rho GTPase-activating protein 6,9862.857421875,9998.0478515625,6565.54443359375,11562.32421875,7839.078125,4393.04931640625,NaN,10080.7314453125,8262.912109375,11111.3759765625,6095.67626953125,23235.072265625,4056.32666015625,4336.49951171875,4239.04150390625,5912.78662109375,4606.40380859375,3620.09521484375,2370.318359375,2801.48291015625,NaN
O43236,SEPTIN4,Septin-4,10690.9501953125,NaN,18301.05859375,7763.5712890625,4226.79345703125,NaN,9702.7373046875,16950.7890625,16246.1103515625,22848.75,9784.1171875,33086.515625,14455.5634765625,NaN,6716.1630859375,11088.982421875,NaN,NaN,NaN,NaN,NaN
O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,112246.9453125,82399.890625,132854.765625,90029.3828125,63149.3828125,103891.40625,94766.5546875,122258.09375,112452.234375,159438.515625,74102.7734375,263028.5625,79773.6640625,94253.578125,68349.4765625,78903.6640625,78915.78125,76666.2734375,73247.28125,79308.6015625,47476.37109375
O43240,KLK10,Kallikrein-10,105242.296875,NaN,74869.5546875,NaN,NaN,NaN,NaN,NaN,NaN,94489.375,NaN,9579.2490234375,NaN,372371.53125,NaN,365029.375,NaN,NaN,NaN,341959.21875,NaN
O43242,PSMD3,26S proteasome non-ATPase regulatory subunit 3,224223.5,198705.828125,232238.828125,263668.1875,241771.21875,188599.6875,198831.890625,207272.015625,203299.265625,259591.859375,219663.765625,278385.4375,192099.96875,168928.3125,206249.015625,191407.109375,190626.21875,139953.40625,165209.875,174207.640625,157631.671875
O43252,PAPSS1,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1,34025.4765625,6366.03662109375,23068.505859375,17528.830078125,21626.30859375,15086.62890625,17793.974609375,28983.05859375,23136.08203125,42717.1796875,8498.8955078125,38150.7109375,23733.78125,9784.6279296875,16989.400390625,26549.615234375,4630.95556640625,5891.11376953125,13410.439453125,NaN,NaN
O43264,ZW10,Centromere/kinetochore protein zw10 homolog,42486.234375,30784.33203125,33130.94921875,37805.38671875,32892.09375,32731.724609375,30268.1640625,34855.921875,32647.234375,42373.99609375,29282.193359375,40267.046875,29119.068359375,34311.0234375,36806.3515625,34317.2578125,29330.490234375,33509.8515625,34739.56640625,26055.923828125,43464.09765625
O43272,PRODH,"Proline dehydrogenase 1, mitochondrial",39944.44921875,16570.78125,38569.59765625,41194.7265625,39646.72265625,54473.78515625,88353.1796875,70478.609375,81202.015625,53827.58984375,32491.091796875,24409.193359375,101392.9140625,55349.015625,75019.2578125,27112.892578125,14808.76953125,NaN,28721.125,134521.8125,125609.9609375
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,40716.515625,31956.64453125,39925.98828125,24199.4296875,16624.83203125,28697.38671875,18327.30859375,31453.00390625,20511.986328125,38839.76171875,16042.5751953125,65757.9453125,41082.84765625,23540.98046875,25805.2734375,48706.5625,16284.2470703125,10716.0322265625,9714.1923828125,9961.3349609375,9687.8564453125
