ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0031903	GO:0031903	microbody membrane	3/584	30/5170	0.674978711108002	0.999999997468212	0.792404171009859	RAB8B/ABCD1/ABCD3	3	go_cc
GO:0043235	GO:0043235	receptor complex	7/584	69/5170	0.67626167406944	0.999999997468212	0.792404171009859	B2M/CD14/EPS8/CD44/PLXNB2/ABHD12/RNMT	7	go_cc
GO:0031985	GO:0031985	Golgi cisterna	2/584	20/5170	0.677912119970352	0.999999997468212	0.792404171009859	HLA-A/ARAP1	2	go_cc
GO:0045111	GO:0045111	intermediate filament cytoskeleton	6/584	60/5170	0.685901673903062	0.999999997468212	0.792404171009859	HLA-DRB1/NES/LMNB1/MACF1/SYNC/SMARCA2	6	go_cc
GO:0030425	GO:0030425	dendrite	19/584	183/5170	0.689657643711866	0.999999997468212	0.792404171009859	ABI3/ARRB2/STAT1/RAB27A/CYBB/ARFGEF2/MAP1A/SRGAP2/CYBA/CKB/CYFIP1/ABHD12/DBN1/CD2AP/MARK2/FARP1/SFPQ/CTTN/EIF4A3	19	go_cc
GO:0097447	GO:0097447	dendritic tree	19/584	183/5170	0.689657643711866	0.999999997468212	0.792404171009859	ABI3/ARRB2/STAT1/RAB27A/CYBB/ARFGEF2/MAP1A/SRGAP2/CYBA/CKB/CYFIP1/ABHD12/DBN1/CD2AP/MARK2/FARP1/SFPQ/CTTN/EIF4A3	19	go_cc
GO:0005929	GO:0005929	cilium	12/584	118/5170	0.695491002162819	0.999999997468212	0.792404171009859	RAB27A/ARFGEF2/SEPTIN9/LYAR/EZR/CASK/EXOC7/ACE/PIK3C3/EHD1/ATP1A1/EHD3	12	go_cc
GO:0016442	GO:0016442	RISC complex	1/584	10/5170	0.698731955762527	0.999999997468212	0.792404171009859	SND1	1	go_cc
GO:0016471	GO:0016471	vacuolar proton-transporting V-type ATPase complex	1/584	10/5170	0.698731955762527	0.999999997468212	0.792404171009859	ATP6V1C1	1	go_cc
GO:0031332	GO:0031332	RNAi effector complex	1/584	10/5170	0.698731955762527	0.999999997468212	0.792404171009859	SND1	1	go_cc
GO:0090533	GO:0090533	cation-transporting ATPase complex	1/584	10/5170	0.698731955762527	0.999999997468212	0.792404171009859	ATP1A1	1	go_cc
GO:0098563	GO:0098563	intrinsic component of synaptic vesicle membrane	1/584	10/5170	0.698731955762527	0.999999997468212	0.792404171009859	RAB35	1	go_cc
GO:1902562	GO:1902562	H4 histone acetyltransferase complex	1/584	10/5170	0.698731955762527	0.999999997468212	0.792404171009859	HCFC1	1	go_cc
GO:0036379	GO:0036379	myofilament	2/584	21/5170	0.704124434522094	0.999999997468212	0.792404171009859	TMOD3/TPM4	2	go_cc
GO:1902554	GO:1902554	serine/threonine protein kinase complex	2/584	21/5170	0.704124434522094	0.999999997468212	0.792404171009859	PRKDC/XRCC5	2	go_cc
GO:0016529	GO:0016529	sarcoplasmic reticulum	5/584	52/5170	0.714687325135831	0.999999997468212	0.792404171009859	MANF/ITPR1/HSP90B1/CALR/DMPK	5	go_cc
GO:0140535	GO:0140535	intracellular protein-containing complex	31/584	299/5170	0.726690577456878	0.999999997468212	0.792404171009859	PSMB9/NFKB2/PSMB8/DDB2/CDC27/ABAT/TCEA1/PSME2/PSME1/FBXO45/PPP4R3A/ZNFX1/ELMO1/CYFIP1/ITPR1/RNMT/NCBP1/TRAPPC9/TNKS1BP1/PPP4R1/NFKB1/ELP3/ANAPC1/LMO7/PRKDC/DPM1/CCAR2/XRCC5/HCFC1/POLR2B/CNOT1	31	go_cc
GO:0000791	GO:0000791	euchromatin	2/584	22/5170	0.728536402396573	0.999999997468212	0.792404171009859	H1-3/TRIM28	2	go_cc
GO:0055029	GO:0055029	nuclear DNA-directed RNA polymerase complex	2/584	22/5170	0.728536402396573	0.999999997468212	0.792404171009859	TCEA1/POLR2B	2	go_cc
GO:0033176	GO:0033176	proton-transporting V-type ATPase complex	1/584	11/5170	0.732828959218861	0.999999997468212	0.792404171009859	ATP6V1C1	1	go_cc
GO:0044665	GO:0044665	MLL1/2 complex	1/584	11/5170	0.732828959218861	0.999999997468212	0.792404171009859	HCFC1	1	go_cc
GO:0071339	GO:0071339	MLL1 complex	1/584	11/5170	0.732828959218861	0.999999997468212	0.792404171009859	HCFC1	1	go_cc
GO:0098533	GO:0098533	ATPase dependent transmembrane transport complex	1/584	11/5170	0.732828959218861	0.999999997468212	0.792404171009859	ATP1A1	1	go_cc
GO:0000932	GO:0000932	P-body	4/584	44/5170	0.748641375918375	0.999999997468212	0.792404171009859	TRIM21/TOP1/DCPS/CNOT1	4	go_cc
GO:0000428	GO:0000428	DNA-directed RNA polymerase complex	2/584	23/5170	0.75121956180131	0.999999997468212	0.792404171009859	TCEA1/POLR2B	2	go_cc
GO:0022624	GO:0022624	proteasome accessory complex	2/584	23/5170	0.75121956180131	0.999999997468212	0.792404171009859	PSME2/PSME1	2	go_cc
GO:0005795	GO:0005795	Golgi stack	3/584	34/5170	0.75588103629944	0.999999997468212	0.792404171009859	HLA-A/LPCAT2/ARAP1	3	go_cc
GO:0008287	GO:0008287	protein serine/threonine phosphatase complex	3/584	34/5170	0.75588103629944	0.999999997468212	0.792404171009859	PPP4R3A/ITPR1/PPP4R1	3	go_cc
GO:1903293	GO:1903293	phosphatase complex	3/584	34/5170	0.75588103629944	0.999999997468212	0.792404171009859	PPP4R3A/ITPR1/PPP4R1	3	go_cc
GO:0000123	GO:0000123	histone acetyltransferase complex	1/584	12/5170	0.76307278318013	0.999999997468212	0.792404171009859	HCFC1	1	go_cc
GO:0005834	GO:0005834	heterotrimeric G-protein complex	1/584	12/5170	0.76307278318013	0.999999997468212	0.792404171009859	GNA13	1	go_cc
GO:0005868	GO:0005868	cytoplasmic dynein complex	1/584	12/5170	0.76307278318013	0.999999997468212	0.792404171009859	SNX4	1	go_cc
GO:0030008	GO:0030008	TRAPP complex	1/584	12/5170	0.76307278318013	0.999999997468212	0.792404171009859	TRAPPC9	1	go_cc
GO:0030127	GO:0030127	COPII vesicle coat	1/584	12/5170	0.76307278318013	0.999999997468212	0.792404171009859	SEC31A	1	go_cc
GO:0080008	GO:0080008	Cul4-RING E3 ubiquitin ligase complex	1/584	12/5170	0.76307278318013	0.999999997468212	0.792404171009859	DDB2	1	go_cc
GO:0001669	GO:0001669	acrosomal vesicle	2/584	24/5170	0.772252275665523	0.999999997468212	0.792404171009859	NCF2/CALR	2	go_cc
GO:0000922	GO:0000922	spindle pole	5/584	56/5170	0.774216106796051	0.999999997468212	0.792404171009859	GIT1/RAD21/STAG2/IK/ARHGEF7	5	go_cc
GO:0005811	GO:0005811	lipid droplet	5/584	56/5170	0.774216106796051	0.999999997468212	0.792404171009859	LPCAT2/HSD17B11/CKAP4/PRPF19/EHD1	5	go_cc
GO:0035770	GO:0035770	ribonucleoprotein granule	13/584	136/5170	0.780230010665394	0.999999997468212	0.792404171009859	CHTOP/TRIM21/CMA1/CTSG/IQGAP1/TOP1/PRRC2C/CKAP4/ZNFX1/HNRNPA3/DHX30/DCPS/CNOT1	13	go_cc
GO:0043025	GO:0043025	neuronal cell body	14/584	146/5170	0.78278545518495	0.999999997468212	0.792404171009859	CYBB/MAP1A/CAD/CRMP1/CYBA/TOP1/CKB/CYFIP1/SLC3A2/EIF4A3/CASP3/ASS1/ARHGEF7/HCFC1	14	go_cc
GO:0009295	GO:0009295	nucleoid	3/584	36/5170	0.789815327201231	0.999999997468212	0.792404171009859	MPG/SHMT2/DHX30	3	go_cc
GO:0032153	GO:0032153	cell division site	3/584	36/5170	0.789815327201231	0.999999997468212	0.792404171009859	SEPTIN9/HMCN2/ARF6	3	go_cc
GO:0042645	GO:0042645	mitochondrial nucleoid	3/584	36/5170	0.789815327201231	0.999999997468212	0.792404171009859	MPG/SHMT2/DHX30	3	go_cc
GO:0033178	GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	1/584	13/5170	0.789898198965862	0.999999997468212	0.792404171009859	ATP6V1C1	1	go_cc
GO:0099699	GO:0099699	integral component of synaptic membrane	1/584	13/5170	0.789898198965862	0.999999997468212	0.792404171009859	NCSTN	1	go_cc
GO:1905360	GO:1905360	GTPase complex	1/584	13/5170	0.789898198965862	0.999999997468212	0.792404171009859	GNA13	1	go_cc
GO:0036126	GO:0036126	sperm flagellum	2/584	25/5170	0.791717283065364	0.999999997468212	0.792404171009859	ACE/ATP1A1	2	go_cc
GO:0045171	GO:0045171	intercellular bridge	2/584	25/5170	0.791717283065364	0.999999997468212	0.792404171009859	RAB35/DNAJC8	2	go_cc
GO:0031970	GO:0031970	organelle envelope lumen	5/584	58/5170	0.800193541204891	0.999999997468212	0.792404171009859	PPOX/CCAR1/IGF2R/CPOX/ARL2	5	go_cc
GO:0043204	GO:0043204	perikaryon	3/584	37/5170	0.805259831571917	0.999999997468212	0.792404171009859	CRMP1/TOP1/ASS1	3	go_cc
GO:0097729	GO:0097729	9+2 motile cilium	2/584	26/5170	0.809699715193133	0.999999997468212	0.792404171009859	ACE/ATP1A1	2	go_cc
GO:0098685	GO:0098685	Schaffer collateral - CA1 synapse	2/584	26/5170	0.809699715193133	0.999999997468212	0.792404171009859	ITPR1/CASK	2	go_cc
GO:0098573	GO:0098573	intrinsic component of mitochondrial membrane	5/584	59/5170	0.812271002382225	0.999999997468212	0.792404171009859	SFXN3/RHOT2/CPT1A/PPOX/DMPK	5	go_cc
GO:0000793	GO:0000793	condensed chromosome	8/584	90/5170	0.812842799066796	0.999999997468212	0.792404171009859	NOL6/ADD3/TP53BP1/BUB3/SMARCA5/RAD50/RAD21/STAG2	8	go_cc
GO:0032420	GO:0032420	stereocilium	1/584	14/5170	0.813690995515006	0.999999997468212	0.792404171009859	EPS8	1	go_cc
GO:0032580	GO:0032580	Golgi cisterna membrane	1/584	14/5170	0.813690995515006	0.999999997468212	0.792404171009859	ARAP1	1	go_cc
GO:0032589	GO:0032589	neuron projection membrane	1/584	14/5170	0.813690995515006	0.999999997468212	0.792404171009859	EPB41L3	1	go_cc
GO:0032154	GO:0032154	cleavage furrow	2/584	27/5170	0.826285502436827	0.999999997468212	0.792404171009859	HMCN2/ARF6	2	go_cc
GO:0036064	GO:0036064	ciliary basal body	2/584	27/5170	0.826285502436827	0.999999997468212	0.792404171009859	EZR/EXOC7	2	go_cc
GO:0005635	GO:0005635	nuclear envelope	23/584	240/5170	0.83188135316429	0.999999997468212	0.792404171009859	RAC2/MX1/POM121/MVP/LMNB1/CYBB/S100A6/PTGDS/TMPO/OSBPL8/CLIC1/NRM/SYNE3/ITPR1/RANBP3/CCAR1/IGF2R/ITSN1/CALR/DMPK/TOR1AIP1/LMO7/ZMPSTE24	23	go_cc
GO:0019005	GO:0019005	SCF ubiquitin ligase complex	1/584	15/5170	0.834793489428745	0.999999997468212	0.792404171009859	FBXO45	1	go_cc
GO:0099240	GO:0099240	intrinsic component of synaptic membrane	1/584	15/5170	0.834793489428745	0.999999997468212	0.792404171009859	NCSTN	1	go_cc
GO:0099738	GO:0099738	cell cortex region	1/584	15/5170	0.834793489428745	0.999999997468212	0.792404171009859	GUCY1B1	1	go_cc
GO:0036464	GO:0036464	cytoplasmic ribonucleoprotein granule	11/584	124/5170	0.84361515052086	0.999999997468212	0.792404171009859	CHTOP/TRIM21/CMA1/CTSG/IQGAP1/TOP1/PRRC2C/CKAP4/ZNFX1/DCPS/CNOT1	11	go_cc
GO:0098802	GO:0098802	plasma membrane signaling receptor complex	3/584	40/5170	0.845960094972702	0.999999997468212	0.792404171009859	B2M/EPS8/ABHD12	3	go_cc
GO:0015630	GO:0015630	microtubule cytoskeleton	44/584	444/5170	0.852085639899484	0.999999997468212	0.792404171009859	CCDC141/KCNAB2/STMN1/CDC27/TAP1/DIDO1/MX1/PARP4/ARFGEF2/TPPP3/MAP1A/TUBB6/GIT1/RCC2/CTSC/IQGAP1/SNX4/CRMP1/SEPTIN9/CAPG/CDC42EP4/HNMT/DPYSL2/PPP4R3A/EZR/PEA15/CHD4/CLIC4/PRPF19/SHMT2/EXOC7/MACF1/NUDT21/CD2AP/CLTC/CTTN/RAD21/DIAPH1/ARL2/STAG2/IK/CCAR2/ARHGEF7/OBSL1	44	go_cc
GO:0000407	GO:0000407	phagophore assembly site	1/584	16/5170	0.853509416135556	0.999999997468212	0.792404171009859	PIK3C3	1	go_cc
GO:0030286	GO:0030286	dynein complex	1/584	16/5170	0.853509416135556	0.999999997468212	0.792404171009859	SNX4	1	go_cc
GO:0032421	GO:0032421	stereocilium bundle	1/584	16/5170	0.853509416135556	0.999999997468212	0.792404171009859	EPS8	1	go_cc
GO:1990234	GO:1990234	transferase complex	23/584	244/5170	0.853683319651014	0.999999997468212	0.792404171009859	DDB2/CDC27/ABAT/ZC3H13/QTRT1/TCEA1/PFKP/FBXO45/ZNFX1/SNRPD1/RNMT/PIK3C3/HDAC2/ANAPC1/SNRPD2/LMO7/PRKDC/PFKL/DPM1/XRCC5/HCFC1/POLR2B/EEA1	23	go_cc
GO:0031461	GO:0031461	cullin-RING ubiquitin ligase complex	4/584	52/5170	0.854517881591928	0.999999997468212	0.792404171009859	DDB2/CDC27/FBXO45/ANAPC1	4	go_cc
GO:1905368	GO:1905368	peptidase complex	6/584	74/5170	0.857078949960312	0.999999997468212	0.792404171009859	PSMB9/PSMB8/PSME2/PSME1/SPCS1/SPCS2	6	go_cc
GO:0000502	GO:0000502	proteasome complex	4/584	53/5170	0.864639039652679	0.999999997468212	0.792404171009859	PSMB9/PSMB8/PSME2/PSME1	4	go_cc
GO:0017053	GO:0017053	transcription repressor complex	1/584	17/5170	0.870108271583138	0.999999997468212	0.792404171009859	NCOR2	1	go_cc
GO:0005782	GO:0005782	peroxisomal matrix	2/584	31/5170	0.880345294323224	0.999999997468212	0.792404171009859	GSTK1/ABCD3	2	go_cc
GO:0031907	GO:0031907	microbody lumen	2/584	31/5170	0.880345294323224	0.999999997468212	0.792404171009859	GSTK1/ABCD3	2	go_cc
GO:0005776	GO:0005776	autophagosome	4/584	56/5170	0.891455770354267	0.999999997468212	0.792404171009859	TRIM21/PIP4K2C/LAMP1/PIK3C3	4	go_cc
GO:0000775	GO:0000775	chromosome, centromeric region	6/584	79/5170	0.895729483525736	0.999999997468212	0.792404171009859	RCC2/TP53BP1/BUB3/PDS5A/RAD21/STAG2	6	go_cc
GO:1902495	GO:1902495	transmembrane transporter complex	8/584	101/5170	0.897806883677356	0.999999997468212	0.792404171009859	KCNAB2/ORAI1/EPS8/CLIC2/CLIC1/ABHD12/CLIC4/ATP1A1	8	go_cc
GO:0031248	GO:0031248	protein acetyltransferase complex	1/584	19/5170	0.897884245089388	0.999999997468212	0.792404171009859	HCFC1	1	go_cc
GO:0034364	GO:0034364	high-density lipoprotein particle	1/584	19/5170	0.897884245089388	0.999999997468212	0.792404171009859	HDLBP	1	go_cc
GO:1902493	GO:1902493	acetyltransferase complex	1/584	19/5170	0.897884245089388	0.999999997468212	0.792404171009859	HCFC1	1	go_cc
GO:0032592	GO:0032592	integral component of mitochondrial membrane	4/584	57/5170	0.899300527027742	0.999999997468212	0.792404171009859	SFXN3/RHOT2/CPT1A/DMPK	4	go_cc
GO:0005874	GO:0005874	microtubule	14/584	164/5170	0.900066573423469	0.999999997468212	0.792404171009859	KCNAB2/STMN1/MX1/PARP4/ARFGEF2/TPPP3/MAP1A/TUBB6/RCC2/IQGAP1/SEPTIN9/DPYSL2/MACF1/CLTC	14	go_cc
GO:0005876	GO:0005876	spindle microtubule	2/584	33/5170	0.901117282351674	0.999999997468212	0.792404171009859	PARP4/CLTC	2	go_cc
GO:0005923	GO:0005923	bicellular tight junction	2/584	33/5170	0.901117282351674	0.999999997468212	0.792404171009859	DDX58/VASP	2	go_cc
GO:1902911	GO:1902911	protein kinase complex	2/584	33/5170	0.901117282351674	0.999999997468212	0.792404171009859	PRKDC/XRCC5	2	go_cc
GO:0019898	GO:0019898	extrinsic component of membrane	10/584	123/5170	0.902227510594103	0.999999997468212	0.792404171009859	KCNAB2/AAK1/IQGAP1/PML/S100A6/EZR/PIK3C3/FARP1/GNA13/EEA1	10	go_cc
GO:0031965	GO:0031965	nuclear membrane	12/584	144/5170	0.902852166893729	0.999999997468212	0.792404171009859	MX1/POM121/LMNB1/PTGDS/OSBPL8/CLIC1/NRM/SYNE3/ITPR1/DMPK/TOR1AIP1/ZMPSTE24	12	go_cc
GO:0022625	GO:0022625	cytosolic large ribosomal subunit	3/584	46/5170	0.905704058731891	0.999999997468212	0.792404171009859	RPL3/RPL22/RPL29	3	go_cc
GO:0030672	GO:0030672	synaptic vesicle membrane	1/584	20/5170	0.909461725358811	0.999999997468212	0.792404171009859	RAB35	1	go_cc
GO:0099501	GO:0099501	exocytic vesicle membrane	1/584	20/5170	0.909461725358811	0.999999997468212	0.792404171009859	RAB35	1	go_cc
GO:0031514	GO:0031514	motile cilium	2/584	34/5170	0.910194547729938	0.999999997468212	0.792404171009859	ACE/ATP1A1	2	go_cc
GO:0031093	GO:0031093	platelet alpha granule lumen	3/584	47/5170	0.913328307704992	0.999999997468212	0.792404171009859	F13A1/MAGED2/FERMT3	3	go_cc
GO:0062023	GO:0062023	collagen-containing extracellular matrix	20/584	228/5170	0.913431899760161	0.999999997468212	0.792404171009859	EMILIN2/FGL2/F13A1/ICAM1/CPA3/LGALS3/CMA1/CTSG/S100A4/CTSC/S100A6/P3H1/SERPINB9/LGALS3BP/CTSB/CASK/HSP90B1/SERPINB8/HMCN2/CALR	20	go_cc
GO:0044297	GO:0044297	cell body	14/584	168/5170	0.91745268450381	0.999999997468212	0.792404171009859	CYBB/MAP1A/CAD/CRMP1/CYBA/TOP1/CKB/CYFIP1/SLC3A2/EIF4A3/CASP3/ASS1/ARHGEF7/HCFC1	14	go_cc
GO:0016459	GO:0016459	myosin complex	2/584	35/5170	0.91848709624139	0.999999997468212	0.792404171009859	MYO1F/MYO1B	2	go_cc
GO:0070160	GO:0070160	tight junction	2/584	35/5170	0.91848709624139	0.999999997468212	0.792404171009859	DDX58/VASP	2	go_cc
GO:0031430	GO:0031430	M band	1/584	21/5170	0.919728589900647	0.999999997468212	0.792404171009859	OBSL1	1	go_cc
GO:0031941	GO:0031941	filamentous actin	1/584	21/5170	0.919728589900647	0.999999997468212	0.792404171009859	CD2AP	1	go_cc
GO:0005813	GO:0005813	centrosome	15/584	179/5170	0.92012244565995	0.999999997468212	0.792404171009859	CCDC141/CDC27/TAP1/GIT1/CTSC/CRMP1/HNMT/CHD4/CLIC4/EXOC7/NUDT21/CD2AP/ARL2/ARHGEF7/OBSL1	15	go_cc
GO:1990351	GO:1990351	transporter complex	8/584	106/5170	0.924101227122696	0.999999997468212	0.792404171009859	KCNAB2/ORAI1/EPS8/CLIC2/CLIC1/ABHD12/CLIC4/ATP1A1	8	go_cc
GO:0005741	GO:0005741	mitochondrial outer membrane	9/584	117/5170	0.924687710695946	0.999999997468212	0.792404171009859	RAC2/QTRT1/ARMCX1/RHOT2/ZNFX1/CPT1A/DMPK/ASS1/CNP	9	go_cc
GO:0031091	GO:0031091	platelet alpha granule	4/584	61/5170	0.925897464553069	0.999999997468212	0.792404171009859	F13A1/MAGED2/VPS33B/FERMT3	4	go_cc
GO:0005777	GO:0005777	peroxisome	5/584	73/5170	0.927326478270728	0.999999997468212	0.792404171009859	RAB8B/PIK3C3/ABCD1/GSTK1/ABCD3	5	go_cc
GO:0042579	GO:0042579	microbody	5/584	73/5170	0.927326478270728	0.999999997468212	0.792404171009859	RAB8B/PIK3C3/ABCD1/GSTK1/ABCD3	5	go_cc
GO:0043209	GO:0043209	myelin sheath	1/584	22/5170	0.928832979781793	0.999999997468212	0.792404171009859	CNP	1	go_cc
GO:0048786	GO:0048786	presynaptic active zone	1/584	22/5170	0.928832979781793	0.999999997468212	0.792404171009859	GUCY1B1	1	go_cc
GO:0019867	GO:0019867	outer membrane	10/584	129/5170	0.929793844179878	0.999999997468212	0.792404171009859	RAC2/QTRT1/ARMCX1/SYNE3/RHOT2/ZNFX1/CPT1A/DMPK/ASS1/CNP	10	go_cc
GO:0031968	GO:0031968	organelle outer membrane	10/584	129/5170	0.929793844179878	0.999999997468212	0.792404171009859	RAC2/QTRT1/ARMCX1/SYNE3/RHOT2/ZNFX1/CPT1A/DMPK/ASS1/CNP	10	go_cc
GO:0022627	GO:0022627	cytosolic small ribosomal subunit	2/584	37/5170	0.932958663389706	0.999999997468212	0.792404171009859	ISG15/RPS27L	2	go_cc
GO:0016469	GO:0016469	proton-transporting two-sector ATPase complex	1/584	23/5170	0.936906316962724	0.999999997468212	0.792404171009859	ATP6V1C1	1	go_cc
GO:0031312	GO:0031312	extrinsic component of organelle membrane	1/584	23/5170	0.936906316962724	0.999999997468212	0.792404171009859	PML	1	go_cc
GO:0031304	GO:0031304	intrinsic component of mitochondrial inner membrane	2/584	38/5170	0.939248653904272	0.999999997468212	0.792404171009859	SFXN3/PPOX	2	go_cc
GO:1905369	GO:1905369	endopeptidase complex	4/584	64/5170	0.941505258223292	0.999999997468212	0.792404171009859	PSMB9/PSMB8/PSME2/PSME1	4	go_cc
GO:0005758	GO:0005758	mitochondrial intermembrane space	3/584	52/5170	0.943674657762187	0.999999997468212	0.792404171009859	PPOX/CPOX/ARL2	3	go_cc
GO:0005875	GO:0005875	microtubule associated complex	3/584	52/5170	0.943674657762187	0.999999997468212	0.792404171009859	MAP1A/SNX4/PEA15	3	go_cc
GO:0034358	GO:0034358	plasma lipoprotein particle	1/584	24/5170	0.944065188323472	0.999999997468212	0.792404171009859	HDLBP	1	go_cc
GO:0034704	GO:0034704	calcium channel complex	1/584	24/5170	0.944065188323472	0.999999997468212	0.792404171009859	ORAI1	1	go_cc
GO:1990777	GO:1990777	lipoprotein particle	1/584	24/5170	0.944065188323472	0.999999997468212	0.792404171009859	HDLBP	1	go_cc
GO:0030312	GO:0030312	external encapsulating structure	21/584	250/5170	0.948240392206578	0.999999997468212	0.792404171009859	EMILIN2/FGL2/F13A1/ICAM1/CPA3/LGALS3/CMA1/CTSG/S100A4/CTSC/S100A6/P3H1/SERPINB9/LGALS3BP/CTSB/GLG1/CASK/HSP90B1/SERPINB8/HMCN2/CALR	21	go_cc
GO:0031012	GO:0031012	extracellular matrix	21/584	250/5170	0.948240392206578	0.999999997468212	0.792404171009859	EMILIN2/FGL2/F13A1/ICAM1/CPA3/LGALS3/CMA1/CTSG/S100A4/CTSC/S100A6/P3H1/SERPINB9/LGALS3BP/CTSB/GLG1/CASK/HSP90B1/SERPINB8/HMCN2/CALR	21	go_cc
GO:0005814	GO:0005814	centriole	1/584	25/5170	0.950413017709226	0.999999997468212	0.792404171009859	CAPG	1	go_cc
GO:0010494	GO:0010494	cytoplasmic stress granule	3/584	54/5170	0.952785346016944	0.999999997468212	0.792404171009859	CTSG/PRRC2C/ZNFX1	3	go_cc
GO:0005815	GO:0005815	microtubule organizing center	20/584	242/5170	0.953323001697264	0.999999997468212	0.792404171009859	CCDC141/CDC27/TAP1/ARFGEF2/GIT1/CTSC/CRMP1/CAPG/HNMT/PPP4R3A/EZR/CHD4/CLIC4/EXOC7/NUDT21/CD2AP/DIAPH1/ARL2/ARHGEF7/OBSL1	20	go_cc
GO:0014704	GO:0014704	intercalated disc	1/584	26/5170	0.95604154980987	0.999999997468212	0.792404171009859	OBSL1	1	go_cc
GO:0031594	GO:0031594	neuromuscular junction	1/584	26/5170	0.95604154980987	0.999999997468212	0.792404171009859	SYNC	1	go_cc
GO:0032994	GO:0032994	protein-lipid complex	1/584	26/5170	0.95604154980987	0.999999997468212	0.792404171009859	HDLBP	1	go_cc
GO:0043296	GO:0043296	apical junction complex	2/584	42/5170	0.959231929116031	0.999999997468212	0.792404171009859	DDX58/VASP	2	go_cc
GO:0000421	GO:0000421	autophagosome membrane	1/584	27/5170	0.961032167016525	0.999999997468212	0.792404171009859	LAMP1	1	go_cc
GO:0005881	GO:0005881	cytoplasmic microtubule	1/584	27/5170	0.961032167016525	0.999999997468212	0.792404171009859	ARFGEF2	1	go_cc
GO:0005581	GO:0005581	collagen trimer	1/584	28/5170	0.965457058026121	0.999999997468212	0.792404171009859	EMILIN2	1	go_cc
GO:0005796	GO:0005796	Golgi lumen	1/584	28/5170	0.965457058026121	0.999999997468212	0.792404171009859	PROZ	1	go_cc
GO:0030315	GO:0030315	T-tubule	1/584	29/5170	0.969380254858627	0.999999997468212	0.792404171009859	ATP1A1	1	go_cc
GO:0031672	GO:0031672	A band	1/584	29/5170	0.969380254858627	0.999999997468212	0.792404171009859	OBSL1	1	go_cc
GO:0022626	GO:0022626	cytosolic ribosome	5/584	85/5170	0.970655258542885	0.999999997468212	0.792404171009859	ISG15/RPL3/RPS27L/RPL22/RPL29	5	go_cc
GO:0033017	GO:0033017	sarcoplasmic reticulum membrane	1/584	30/5170	0.972858553081261	0.999999997468212	0.792404171009859	DMPK	1	go_cc
GO:0005643	GO:0005643	nuclear pore	3/584	62/5170	0.977149612537247	0.999999997468212	0.792404171009859	POM121/MVP/RANBP3	3	go_cc
GO:0044853	GO:0044853	plasma membrane raft	2/584	48/5170	0.977868362155664	0.999999997468212	0.792404171009859	ORAI1/EZR	2	go_cc
GO:0000151	GO:0000151	ubiquitin ligase complex	5/584	92/5170	0.983252178650229	0.999999997468212	0.792404171009859	DDB2/CDC27/FBXO45/ANAPC1/LMO7	5	go_cc
GO:0042383	GO:0042383	sarcolemma	4/584	80/5170	0.984682991062196	0.999999997468212	0.792404171009859	LAMP1/SYNC/ATP1A1/NCSTN	4	go_cc
GO:0042571	GO:0042571	immunoglobulin complex, circulating	1/584	35/5170	0.985153379565093	0.999999997468212	0.792404171009859	IGHV5-10-1	1	go_cc
GO:0005844	GO:0005844	polysome	2/584	53/5170	0.98682551706115	0.999999997468212	0.792404171009859	CALR/HDLBP	2	go_cc
GO:0016234	GO:0016234	inclusion body	1/584	36/5170	0.986841875443182	0.999999997468212	0.792404171009859	PABPN1	1	go_cc
GO:0044291	GO:0044291	cell-cell contact zone	1/584	36/5170	0.986841875443182	0.999999997468212	0.792404171009859	OBSL1	1	go_cc
GO:0031305	GO:0031305	integral component of mitochondrial inner membrane	1/584	37/5170	0.988338631333556	0.999999997468212	0.792404171009859	SFXN3	1	go_cc
GO:0099512	GO:0099512	supramolecular fiber	36/584	444/5170	0.991391463658122	0.999999997468212	0.792404171009859	HCLS1/KCNAB2/STMN1/HLA-DRB1/ANKRD1/CORO1A/RAC2/MX1/LCP1/PARP4/NES/TMOD3/COTL1/LMNB1/ARFGEF2/TPPP3/MAP1A/TUBB6/RCC2/IQGAP1/SEPTIN9/CORO1B/DPYSL2/MYO1B/TPM4/EZR/XIRP2/DBN1/MACF1/SYNC/CD2AP/MARK2/CLTC/CTTN/DIAPH1/OBSL1	36	go_cc
GO:0000776	GO:0000776	kinetochore	2/584	58/5170	0.99221532729287	0.999999997468212	0.792404171009859	TP53BP1/BUB3	2	go_cc
GO:0099081	GO:0099081	supramolecular polymer	36/584	447/5170	0.992492686441634	0.999999997468212	0.792404171009859	HCLS1/KCNAB2/STMN1/HLA-DRB1/ANKRD1/CORO1A/RAC2/MX1/LCP1/PARP4/NES/TMOD3/COTL1/LMNB1/ARFGEF2/TPPP3/MAP1A/TUBB6/RCC2/IQGAP1/SEPTIN9/CORO1B/DPYSL2/MYO1B/TPM4/EZR/XIRP2/DBN1/MACF1/SYNC/CD2AP/MARK2/CLTC/CTTN/DIAPH1/OBSL1	36	go_cc
GO:0000779	GO:0000779	condensed chromosome, centromeric region	2/584	61/5170	0.994340409865169	0.999999997468212	0.792404171009859	TP53BP1/BUB3	2	go_cc
GO:0015935	GO:0015935	small ribosomal subunit	2/584	61/5170	0.994340409865169	0.999999997468212	0.792404171009859	ISG15/RPS27L	2	go_cc
