paste_into_igv_junction,seqnames,start,end,width,strand,gene_name,gene_id,lsv_id,mean_dpsi_per_lsv_junction,probability_changing,probability_non_changing,control_mean_psi,tdp43kd_mean_psi,a5ss,a3ss,es,num_junctions,num_exons,de_novo_junctions,lsv_junc,strand_start,transcript_id_start,exon_name_start,exon_rank_start,gene_id_start,strand_end,transcript_id_end,exon_name_end,exon_rank_end,gene_id_end,gene_id_junc,junc_in_ref,junc_cat,pathological_splicing
chr12:2493386-2504842,chr12,2493386,2504842,11457,+,CACNA1C,ENSG00000151067.23,ENSG00000151067.23:s:2493190-2493386,0.12465345,0.72532,1.97E-05,0.039,0.16,FALSE,FALSE,TRUE,3,4,1,ENSG00000151067.23:s:2493190-2493386_2493386-2504842,+,ENST00000682544.1|ENST00000683781.1|ENST00000682462.1|ENST00000683840.1|ENST00000683956.1|ENST00000683824.1|ENST00000399634.6|ENST00000406454.8|ENST00000327702.12|ENST00000347598.9|ENST00000399603.6|ENST00000399641.6|ENST00000399655.6|ENST00000335762.10|ENST00000682835.1|ENST00000399617.6|ENST00000672806.1|ENST00000683482.1|ENST00000480911.6|ENST00000682336.1|ENST00000344100.7|ENST00000399591.5|ENST00000399595.5|ENST00000399597.5|ENST00000399601.5|ENST00000399606.5|ENST00000399621.5|ENST00000399629.5|ENST00000399637.5|ENST00000399638.5|ENST00000399644.5|ENST00000399649.5|ENST00000402845.7|ENST00000682686.1|ENST00000682152.1|ENST00000682343.1,ENSE00001773383.1|ENSE00003888870.1|ENSE00003917695.1|ENSE00003918481.1,7|6|4,ENSG00000151067.23,+,ENST00000682544.1|ENST00000327702.12|ENST00000347598.9|ENST00000399655.6|ENST00000335762.10|ENST00000683482.1|ENST00000682336.1|ENST00000344100.7|ENST00000399591.5|ENST00000399595.5|ENST00000399597.5|ENST00000399601.5|ENST00000399606.5|ENST00000399621.5|ENST00000399629.5|ENST00000399637.5|ENST00000399638.5|ENST00000399644.5|ENST00000399649.5|ENST00000402845.7|ENST00000682686.1,ENSE00000997448.1,8,ENSG00000151067.23,ENSG00000151067.23,TRUE,annotated,
chr16:50621709-50625224,chr16,50621709,50625224,3516,+,NKD1,ENSG00000140807.7,ENSG00000140807.7:s:50621602-50621708,0.123522743,0.72551,4.73E-05,0.026,0.146,FALSE,FALSE,FALSE,2,2,0,ENSG00000140807.7:s:50621602-50621708_50621709-50625224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr1:34929068-34929451,chr1,34929068,34929451,384,-,DLGAP3,ENSG00000116544.12,ENSG00000116544.12:s:34929451-34929650,0.124665926,0.74390,3.26E-09,0,0.151,FALSE,FALSE,TRUE,3,4,0,ENSG00000116544.12:s:34929451-34929650_34929068-34929451,NA,NA,NA,NA,NA,-,ENST00000373347.6,ENSE00001460354.2,1,ENSG00000116544.12,ENSG00000116544.12,FALSE,novel_acceptor,Y
chr3:14507700-14511165,chr3,14507700,14511165,3466,-,GRIP2,ENSG00000144596.13,ENSG00000144596.13:s:14511165-14511310,0.125053709,0.74628,1.95E-07,0.017,0.152,FALSE,FALSE,TRUE,2,3,0,ENSG00000144596.13:s:14511165-14511310_14507700-14511165,-,ENST00000621039.5|ENST00000619221.4|ENST00000430219.2|ENST00000637182.1,ENSE00003532731.1,18|19|6,ENSG00000144596.13,-,ENST00000621039.5|ENST00000619221.4|ENST00000430219.2|ENST00000637182.1,ENSE00003596911.1,16|17|4,ENSG00000144596.13,ENSG00000144596.13,FALSE,novel_exon_skip,Y
chr20:19965024-19968392,chr20,19965024,19968392,3369,+,RIN2,ENSG00000132669.14,ENSG00000132669.14:s:19964952-19965024,0.125188812,0.74776,1.12E-07,0.005,0.151,FALSE,FALSE,TRUE,2,3,0,ENSG00000132669.14:s:19964952-19965024_19965024-19968392,+,ENST00000255006.12|ENST00000648440.1|ENST00000467569.5,ENSE00003504597.1|ENSE00003542778.1,7|6,ENSG00000132669.14,NA,NA,NA,NA,NA,ENSG00000132669.14,FALSE,novel_acceptor,Y
chr16:50246203-50246881,chr16,50246203,50246881,679,+,ADCY7,ENSG00000121281.13,ENSG00000121281.13:s:50246137-50246203,0.125349756,0.74834,2.53E-07,0.001,0.151,FALSE,FALSE,TRUE,3,4,0,ENSG00000121281.13:s:50246137-50246203_50246203-50246881,+,ENST00000564965.5|ENST00000564044.5,ENSE00002591122.1|ENSE00002624697.1,1,ENSG00000121281.13,NA,NA,NA,NA,NA,ENSG00000121281.13,FALSE,novel_acceptor,Y
chr2:54928751-54947858,chr2,54928751,54947858,19108,+,EML6,ENSG00000214595.12,ENSG00000214595.12:s:54928625-54928751,0.125796749,0.75038,2.03E-06,0.03,0.152,FALSE,TRUE,TRUE,3,3,0,ENSG00000214595.12:s:54928625-54928751_54928751-54947858,+,ENST00000356458.7|ENST00000673912.1|ENST00000673695.1,ENSE00003331670.1,28|27,ENSG00000214595.12,NA,NA,NA,NA,NA,ENSG00000214595.12,FALSE,novel_acceptor,Y
chr17:81208356-81208928,chr17,81208356,81208928,573,-,CEP131,ENSG00000141577.14,ENSG00000141577.14:s:81208928-81209022,0.125714927,0.75289,5.61E-09,0,0.151,FALSE,FALSE,TRUE,2,3,0,ENSG00000141577.14:s:81208928-81209022_81208356-81208928,NA,NA,NA,NA,NA,-,ENST00000374782.7|ENST00000450824.7|ENST00000269392.8|ENST00000575907.5,ENSE00001244865.1,3,ENSG00000141577.14,ENSG00000141577.14,FALSE,novel_acceptor,Y
chr11:44920000-44925716,chr11,44920000,44925716,5717,+,TSPAN18,ENSG00000157570.12,ENSG00000157570.12:s:44919666-44919999,0.127580117,0.76897,1.10E-05,0.036,0.159,FALSE,FALSE,TRUE,3,3,0,ENSG00000157570.12:s:44919666-44919999_44920000-44925716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr7:117861316-117862098,chr7,117861316,117862098,783,-,CTTNBP2,ENSG00000077063.11,ENSG00000077063.11:t:117861209-117861316,0.127805826,0.77106,9.07E-08,0.008,0.151,FALSE,FALSE,TRUE,2,3,0,ENSG00000077063.11:t:117861209-117861316_117861316-117862098,-,ENST00000160373.8|ENST00000441556.5|ENST00000434890.5|ENST00000454375.5|ENST00000412853.1,ENSE00003633925.1|ENSE00003685761.1,2,ENSG00000077063.11,NA,NA,NA,NA,NA,ENSG00000077063.11,FALSE,novel_donor,Y
chrX:315020-316914,chrX,315020,316914,1895,-,GTPBP6,ENSG00000178605.13,ENSG00000178605.13:s:316914-317051,0.128742192,0.77518,5.01E-06,0.04,0.157,FALSE,FALSE,TRUE,2,3,0,ENSG00000178605.13:s:316914-317051_315020-316914,-,ENST00000326153.9,ENSE00003714129.1,4,ENSG00000178605.13,-,ENST00000326153.9,ENSE00003733507.1,2,ENSG00000178605.13,ENSG00000178605.13,FALSE,novel_exon_skip,Y
chr16:53623000-53636439,chr16,53623000,53636439,13440,-,RPGRIP1L,ENSG00000103494.16,ENSG00000103494.16:s:53636439-53636512,0.129138594,0.78011,2.68E-07,0.002,0.154,FALSE,FALSE,TRUE,4,5,0,ENSG00000103494.16:s:53636439-53636512_53623000-53636439,NA,NA,NA,NA,NA,-,ENST00000647211.2|ENST00000262135.9|ENST00000681587.1|ENST00000565343.2|ENST00000621565.5|ENST00000680193.1|ENST00000563746.5|ENST00000564374.5|ENST00000568009.1,ENSE00003569393.1|ENSE00003583933.1,22|21|4|12|3,ENSG00000103494.16,ENSG00000103494.16,FALSE,novel_acceptor,
chr1:243512426-243523309,chr1,243512426,243523309,10884,-,AKT3,ENSG00000117020.19,ENSG00000117020.19:t:243512324-243512426,0.129158621,0.78324,1.52E-09,0.001,0.152,FALSE,FALSE,TRUE,2,3,0,ENSG00000117020.19:t:243512324-243512426_243512426-243523309,-,ENST00000336199.9|ENST00000366540.5|ENST00000673466.1|ENST00000679831.1|ENST00000680118.1|ENST00000672460.1|ENST00000681055.1|ENST00000672578.1|ENST00000366539.6|ENST00000680056.1|ENST00000681794.1|ENST00000263826.12,ENSE00003893073.1|ENSE00003913523.1,12|13|4|10|2|11,ENSG00000117020.19,NA,NA,NA,NA,NA,ENSG00000117020.19,FALSE,novel_donor,Y
chr12:27676599-27677064,chr12,27676599,27677064,466,+,PPFIBP1,ENSG00000110841.14,ENSG00000110841.14:s:27676428-27676599,0.129440686,0.78554,4.64E-09,0.006,0.154,FALSE,FALSE,TRUE,2,3,1,ENSG00000110841.14:s:27676428-27676599_27676599-27677064,+,ENST00000540114.5|ENST00000537927.5|ENST00000228425.11|ENST00000318304.12|ENST00000542629.5,ENSE00000835948.1,15|16|18|17,ENSG00000110841.14,+,ENST00000228425.11,ENSE00001238451.1,19,ENSG00000110841.14,ENSG00000110841.14,TRUE,annotated,
chr7:45625430-45648670,chr7,45625430,45648670,23241,+,ADCY1,ENSG00000164742.16,ENSG00000164742.16:t:45648670-45648797,0.129552522,0.78666,2.09E-09,0,0.154,TRUE,FALSE,TRUE,3,3,0,ENSG00000164742.16:t:45648670-45648797_45625430-45648670,NA,NA,NA,NA,NA,+,ENST00000432715.5|ENST00000297323.12|ENST00000621543.1,ENSE00001138860.1,6|5,ENSG00000164742.16,ENSG00000164742.16,FALSE,novel_donor,Y
chr4:32193950-32203876,chr4,32193950,32203876,9927,+,LINC02506,ENSG00000251129.2,ENSG00000251129.2:s:32193759-32193949,0.136476226,0.78803,0.000180603,0.049,0.188,FALSE,FALSE,TRUE,3,3,0,ENSG00000251129.2:s:32193759-32193949_32193950-32203876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,
chr3:14507700-14511165,chr3,14507700,14511165,3466,-,GRIP2,ENSG00000144596.13,ENSG00000144596.13:t:14507561-14507700,0.13164723,0.80222,9.33E-08,0.021,0.156,FALSE,FALSE,TRUE,2,3,0,ENSG00000144596.13:t:14507561-14507700_14507700-14511165,-,ENST00000621039.5|ENST00000619221.4|ENST00000430219.2|ENST00000637182.1,ENSE00003532731.1,18|19|6,ENSG00000144596.13,-,ENST00000621039.5|ENST00000619221.4|ENST00000430219.2|ENST00000637182.1,ENSE00003596911.1,16|17|4,ENSG00000144596.13,ENSG00000144596.13,FALSE,novel_exon_skip,Y
chr2:14632937-14649316,chr2,14632937,14649316,16380,+,LRATD1,ENSG00000162981.14,ENSG00000162981.14:t:14648981-14649453,0.131458924,0.80355,7.16E-12,0.009,0.152,FALSE,TRUE,TRUE,8,8,0,ENSG00000162981.14:t:14648981-14649453_14632937-14649316,+,ENST00000331243.4|ENST00000295092.3,ENSE00001428250.2|ENSE00001070323.3,1,ENSG00000162981.14,+,ENST00000497769.2|ENST00000464947.1,ENSE00003537671.2|ENSE00001840632.1,2|5,ENSG00000162981.14,ENSG00000162981.14,FALSE,novel_combo,
chr14:60809016-60811985,chr14,60809016,60811985,2970,+,MNAT1,ENSG00000020426.11,ENSG00000020426.11:s:60808324-60809015,0.132940605,0.80768,2.64E-05,0.036,0.158,FALSE,FALSE,FALSE,2,2,0,ENSG00000020426.11:s:60808324-60809015_60809016-60811985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr9:106863356-106865981,chr9,106863356,106865981,2626,+,ZNF462,ENSG00000148143.13,ENSG00000148143.13:s:106863166-106863355,0.134234509,0.80934,3.75E-07,0.005,0.16,FALSE,FALSE,TRUE,3,3,0,ENSG00000148143.13:s:106863166-106863355_106863356-106865981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr5:37122489-37124745,chr5,37122489,37124745,2257,-,CPLANE1,ENSG00000197603.16,ENSG00000197603.16:t:37122430-37122488,0.135262319,0.80968,1.83E-06,0.014,0.156,FALSE,FALSE,FALSE,2,2,0,ENSG00000197603.16:t:37122430-37122488_37122489-37124745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr3:124664330-124666449,chr3,124664330,124666449,2120,+,KALRN,ENSG00000160145.16,ENSG00000160145.16:t:124666449-124666634,0.13233173,0.81102,1.37E-11,0,0.154,FALSE,FALSE,TRUE,2,3,0,ENSG00000160145.16:t:124666449-124666634_124664330-124666449,NA,NA,NA,NA,NA,+,ENST00000682506.1|ENST00000683592.1|ENST00000360013.7|ENST00000354186.8|ENST00000684360.1|ENST00000393496.5|ENST00000682290.1|ENST00000291478.9|ENST00000682363.1|ENST00000459915.2,ENSE00001078896.1|ENSE00003761167.1,46|45|23|13|14|10,ENSG00000160145.16,ENSG00000160145.16,FALSE,novel_donor,Y
chrX:48818109-48820106,chrX,48818109,48820106,1998,+,HDAC6,ENSG00000094631.21,ENSG00000094631.21:s:48817638-48818109,0.132337821,0.81120,2.81E-12,0.002,0.155,FALSE,FALSE,TRUE,2,3,1,ENSG00000094631.21:s:48817638-48818109_48818109-48820106,+,ENST00000376619.6|ENST00000477528.5|ENST00000334136.11|ENST00000643659.1|ENST00000643374.1|ENST00000644068.1|ENST00000643934.1|ENST00000647398.1|ENST00000486227.5|ENST00000645643.1|ENST00000486665.5|ENST00000489053.1|ENST00000480525.5,ENSE00003692994.1|ENSE00003625588.1|ENSE00003830827.1|ENSE00001826123.1|ENSE00001894761.1,21|20|18|9|3|1,ENSG00000094631.21,+,ENST00000376619.6|ENST00000477528.5|ENST00000334136.11|ENST00000643659.1|ENST00000643374.1|ENST00000644068.1|ENST00000643934.1|ENST00000647398.1|ENST00000486227.5|ENST00000645643.1|ENST00000486665.5|ENST00000470942.1|ENST00000498808.6,ENSE00003486569.1|ENSE00003598149.1|ENSE00003826983.1|ENSE00001936720.1|ENSE00001809664.1,23|22|19|11|4|5|2,ENSG00000094631.21,ENSG00000094631.21,TRUE,annotated,Y
chr4:17604668-17606828,chr4,17604668,17606828,2161,+,LAP3,ENSG00000002549.13,ENSG00000002549.13:s:17604588-17604667,0.139244254,0.82078,5.73E-05,0.031,0.163,FALSE,FALSE,FALSE,2,2,0,ENSG00000002549.13:s:17604588-17604667_17604668-17606828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,
chr12:124149791-124195458,chr12,124149791,124195458,45668,+,RFLNA,ENSG00000178882.15,ENSG00000178882.15:s:124149595-124149791,0.133786678,0.82260,2.21E-06,0.036,0.156,FALSE,FALSE,TRUE,7,8,0,ENSG00000178882.15:s:124149595-124149791_124149791-124195458,+,ENST00000389727.8|ENST00000545615.1,ENSE00002265837.1,3,ENSG00000178882.15,NA,NA,NA,NA,NA,ENSG00000178882.15,FALSE,novel_acceptor,Y
chr12:88119150-88120114,chr12,88119150,88120114,965,-,CEP290,ENSG00000198707.17,ENSG00000198707.17:s:88120114-88120276,0.140185231,0.82268,4.48E-06,0.049,0.193,FALSE,FALSE,TRUE,2,3,1,ENSG00000198707.17:s:88120114-88120276_88119150-88120114,-,ENST00000675559.1,ENSE00003894346.2,16,ENSG00000198707.17,-,ENST00000676363.1|ENST00000552810.6|ENST00000309041.12|ENST00000672414.2|ENST00000673058.2|ENST00000674971.1|ENST00000675230.1|ENST00000675408.1|ENST00000675476.1|ENST00000675628.1|ENST00000675794.1|ENST00000675833.1|ENST00000676074.1|ENST00000676448.1|ENST00000604024.5|ENST00000547926.7|ENST00000397838.8|ENST00000675559.1,ENSE00003889436.1|ENSE00003740398.1,7|15|14|6,ENSG00000198707.17,ENSG00000198707.17,TRUE,annotated,Y
chr11:71485324-71485542,chr11,71485324,71485542,219,+,NADSYN1,ENSG00000172890.13,ENSG00000172890.13:t:71485542-71485648,0.1337929,0.82401,3.16E-13,0,0.154,FALSE,FALSE,TRUE,4,4,0,ENSG00000172890.13:t:71485542-71485648_71485324-71485542,NA,NA,NA,NA,NA,+,ENST00000319023.7|ENST00000525200.5|ENST00000529840.5|ENST00000530055.5|ENST00000526039.6,ENSE00003787070.1|ENSE00003505656.1,16|8|7,ENSG00000172890.13,ENSG00000172890.13,FALSE,novel_donor,Y
chr8:142531271-142533295,chr8,142531271,142533295,2025,+,ADGRB1,ENSG00000181790.11,ENSG00000181790.11:t:142533295-142533466,0.133954597,0.82544,9.70E-17,0.004,0.153,FALSE,TRUE,TRUE,5,6,0,ENSG00000181790.11:t:142533295-142533466_142531271-142533295,NA,NA,NA,NA,NA,+,ENST00000517894.5|ENST00000643448.1|ENST00000521208.5|ENST00000323289.6|ENST00000518820.1,ENSE00003609698.1|ENSE00003555710.1|ENSE00003620811.1,25|24|16,ENSG00000181790.11,ENSG00000181790.11,FALSE,novel_donor,Y
chr1:243527864-243545510,chr1,243527864,243545510,17647,-,AKT3,ENSG00000117020.19,ENSG00000117020.19:s:243545510-243545648,0.135657214,0.83999,5.76E-10,0,0.157,FALSE,FALSE,TRUE,2,3,0,ENSG00000117020.19:s:243545510-243545648_243527864-243545510,NA,NA,NA,NA,NA,-,ENST00000336199.9|ENST00000366540.5|ENST00000673466.1|ENST00000679831.1|ENST00000680118.1|ENST00000672460.1|ENST00000681055.1|ENST00000672578.1|ENST00000366539.6|ENST00000680056.1|ENST00000681794.1|ENST00000263826.12,ENSE00003893431.1|ENSE00003912292.1|ENSE00003910534.1,11|12|3|9|1|10,ENSG00000117020.19,ENSG00000117020.19,FALSE,novel_acceptor,Y
chr11:8750725-8776192,chr11,8750725,8776192,25468,-,DENND2B,ENSG00000166444.19,ENSG00000166444.19:t:8750621-8750725,0.136050464,0.84214,3.38E-09,0,0.158,FALSE,FALSE,TRUE,3,4,1,ENSG00000166444.19:t:8750621-8750725_8750725-8776192,-,ENST00000526757.5|ENST00000534127.5|ENST00000313726.11|ENST00000530438.5|ENST00000532734.5|ENST00000626808.2|ENST00000533425.5|ENST00000528196.5|ENST00000527510.5|ENST00000530580.5|ENST00000531093.5|ENST00000533225.5|ENST00000526126.5|ENST00000526221.5|ENST00000528523.5|ENST00000527930.5|ENST00000533681.5|ENST00000526241.5|ENST00000530959.5|ENST00000533580.5|ENST00000526155.5|ENST00000534248.5|ENST00000527347.5|ENST00000533016.1|ENST00000527516.5|ENST00000527473.5|ENST00000530938.5|ENST00000533471.5|ENST00000524757.5|ENST00000527392.5|ENST00000526828.5|ENST00000525169.5|ENST00000534665.5|ENST00000531578.1,ENSE00003597340.1|ENSE00003510413.1|ENSE00003610148.1,2|5|4|3|6,ENSG00000166444.19,-,ENST00000533016.1,ENSE00002162322.1,1,ENSG00000166444.19,ENSG00000166444.19,TRUE,annotated,Y
chr21:45755452-45788298,chr21,45755452,45788298,32847,+,PCBP3,ENSG00000183570.17,ENSG00000183570.17:s:45755417-45755452,0.137730107,0.84243,3.47E-07,0.009,0.164,FALSE,FALSE,TRUE,2,3,0,ENSG00000183570.17:s:45755417-45755452_45755452-45788298,+,ENST00000681687.1,ENSE00003911389.1,4,ENSG00000183570.17,+,ENST00000465077.5,ENSE00001924472.1,4,ENSG00000183570.17,ENSG00000183570.17,FALSE,novel_combo,Y
chr8:19408695-19409237,chr8,19408695,19409237,543,-,CSGALNACT1,ENSG00000147408.14,ENSG00000147408.14:t:19408613-19408694,0.138167537,0.84257,0.000140196,0.042,0.17,FALSE,FALSE,TRUE,3,3,0,ENSG00000147408.14:t:19408613-19408694_19408695-19409237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr16:70665541-70666339,chr16,70665541,70666339,799,-,MTSS2,ENSG00000132613.15,ENSG00000132613.15:t:70665466-70665540,0.141284601,0.85036,1.61E-07,0.021,0.167,FALSE,FALSE,TRUE,4,4,0,ENSG00000132613.15:t:70665466-70665540_70665541-70666339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr6:80169030-80169811,chr6,80169030,80169811,782,+,BCKDHB,ENSG00000083123.15,ENSG00000083123.15:s:80168875-80169030,0.138989357,0.85345,1.60E-06,0.035,0.165,FALSE,FALSE,TRUE,2,3,1,ENSG00000083123.15:s:80168875-80169030_80169030-80169811,+,ENST00000369760.8|ENST00000356489.9|ENST00000320393.9,ENSE00000798034.1,5,ENSG00000083123.15,+,ENST00000369760.8,ENSE00001450822.3,6,ENSG00000083123.15,ENSG00000083123.15,TRUE,annotated,Y
chr15:59439064-59458550,chr15,59439064,59458550,19487,+,FAM81A,ENSG00000157470.12,ENSG00000157470.12:t:59458550-59458646,0.139489934,0.85823,1.92E-07,0.002,0.165,FALSE,FALSE,TRUE,3,4,0,ENSG00000157470.12:t:59458550-59458646_59439064-59458550,+,ENST00000559628.5|ENST00000557895.5|ENST00000560022.1,ENSE00002569709.1,2,ENSG00000157470.12,+,ENST00000558348.5|ENST00000560394.5|ENST00000288228.10|ENST00000559628.5|ENST00000558513.1|ENST00000557914.5|ENST00000560474.5|ENST00000560087.5|ENST00000560074.5|ENST00000560123.5|ENST00000561361.1,ENSE00003463204.1|ENSE00003598395.1|ENSE00002570538.1,3|2|4,ENSG00000157470.12,ENSG00000157470.12,FALSE,novel_exon_skip,Y
chr1:21598502-21598723,chr1,21598502,21598723,222,-,RAP1GAP,ENSG00000076864.20,ENSG00000076864.20:t:21598400-21598502,0.138386341,0.86386,7.77E-11,0,0.159,FALSE,FALSE,TRUE,2,3,0,ENSG00000076864.20:t:21598400-21598502_21598502-21598723,-,ENST00000290101.8|ENST00000374763.6|ENST00000374761.6|ENST00000374765.9|ENST00000611549.4|ENST00000542643.6|ENST00000495204.5,ENSE00003725739.1|ENSE00003717822.1|ENSE00003734638.1,24|20|22,ENSG00000076864.20,NA,NA,NA,NA,NA,ENSG00000076864.20,FALSE,novel_donor,Y
chr9:133379122-133395600,chr9,133379122,133395600,16479,+,STKLD1,ENSG00000198870.8,ENSG00000198870.8:s:133379036-133379122,0.140524109,0.86418,1.92E-07,0.002,0.166,FALSE,FALSE,TRUE,2,3,0,ENSG00000198870.8:s:133379036-133379122_133379122-133395600,+,ENST00000371957.4|ENST00000468046.1|ENST00000475232.1,ENSE00003482661.1|ENSE00001866263.1|ENSE00001849155.1,2|1,ENSG00000198870.8,+,ENST00000371957.4|ENST00000462310.1|ENST00000477284.1,ENSE00003596074.1|ENSE00001818401.1|ENSE00001883971.1,9|2,ENSG00000198870.8,ENSG00000198870.8,FALSE,novel_exon_skip,Y
chr16:58538915-58539520,chr16,58538915,58539520,606,-,CNOT1,ENSG00000125107.19,ENSG00000125107.19:t:58538772-58538914,0.143683305,0.87132,7.57E-10,0.01,0.176,FALSE,FALSE,TRUE,3,3,0,ENSG00000125107.19:t:58538772-58538914_58538915-58539520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr6:8780007-8784180,chr6,8780007,8784180,4174,+,HULC,ENSG00000285219.2,ENSG00000285219.2:t:8783275-8784337,0.143320987,0.87455,4.06E-07,0.012,0.17,FALSE,TRUE,TRUE,6,7,0,ENSG00000285219.2:t:8783275-8784337_8780007-8784180,+,ENST00000643136.1|ENST00000647135.1|ENST00000645863.1,ENSE00003826509.1,3|4,ENSG00000285219.2,+,ENST00000645758.1|ENST00000647052.1|ENST00000643083.1|ENST00000643953.1|ENST00000642665.1|ENST00000643414.1|ENST00000644363.1|ENST00000642163.1|ENST00000642534.1,ENSE00001761237.2,4|5|3,ENSG00000285219.2,ENSG00000285219.2,FALSE,novel_combo,
chr1:10661399-10665082,chr1,10661399,10665082,3684,-,CASZ1,ENSG00000130940.15,ENSG00000130940.15:s:10665083-10665571,0.140025822,0.87680,2.20E-09,0.021,0.162,FALSE,FALSE,FALSE,2,2,0,ENSG00000130940.15:s:10665083-10665571_10661399-10665082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr14:74101238-74114006,chr14,74101238,74114006,12769,+,LIN52,ENSG00000205659.11,ENSG00000205659.11:s:74101155-74101238,0.13995884,0.87782,3.58E-11,0.028,0.16,FALSE,FALSE,TRUE,2,3,1,ENSG00000205659.11:s:74101155-74101238_74101238-74114006,+,ENST00000555028.6|ENST00000674221.1|ENST00000554076.5,ENSE00003533748.1|ENSE00003553080.1,5,ENSG00000205659.11,+,ENST00000554076.5,ENSE00002445813.1,6,ENSG00000205659.11,ENSG00000205659.11,TRUE,annotated,Y
chr19:39316786-39318325,chr19,39316786,39318325,1540,-,LRFN1,ENSG00000128011.5,ENSG00000128011.5:s:39318326-39318358,0.147872615,0.88556,1.54E-07,0.013,0.167,FALSE,FALSE,TRUE,3,3,0,ENSG00000128011.5:s:39318326-39318358_39316786-39318325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr8:30556794-30558887,chr8,30556794,30558887,2094,+,RBPMS,ENSG00000157110.16,ENSG00000157110.16:t:30558181-30558956,0.159987121,0.88741,8.89E-06,0.042,0.207,FALSE,FALSE,TRUE,3,4,1,ENSG00000157110.16:t:30558181-30558956_30556794-30558887,+,ENST00000523104.5,ENSE00002129532.1,1,ENSG00000157110.16,+,ENST00000320203.8|ENST00000287771.9|ENST00000397323.9|ENST00000519359.5|ENST00000521370.5|ENST00000523104.5,ENSE00003569425.1|ENSE00003553569.1|ENSE00003615897.1,7|8|2,ENSG00000157110.16,ENSG00000157110.16,TRUE,annotated,Y
chr5:157328050-157330161,chr5,157328050,157330161,2112,+,CYFIP2,ENSG00000055163.20,ENSG00000055163.20:s:157327925-157328049,0.152137009,0.89108,2.93E-13,0.021,0.172,FALSE,FALSE,TRUE,3,3,0,ENSG00000055163.20:s:157327925-157328049_157328050-157330161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,none,Y
chr15:47469299-47470474,chr15,47469299,47470474,1176,+,SEMA6D,ENSG00000137872.17,ENSG00000137872.17:t:47470474-47470545,0.141715027,0.89355,2.05E-23,0,0.157,TRUE,FALSE,TRUE,6,6,0,ENSG00000137872.17:t:47470474-47470545_47469299-47470474,NA,NA,NA,NA,NA,+,ENST00000558014.5|ENST00000559184.5|ENST00000560636.5,ENSE00002300514.1,3|4,ENSG00000137872.17,ENSG00000137872.17,FALSE,novel_donor,Y
chr9:129498511-129503323,chr9,129498511,129503323,4813,+,LINC00963,ENSG00000204054.14,ENSG00000204054.14:t:129503323-129504545,0.141818424,0.89446,1.26E-17,0.028,0.159,TRUE,FALSE,TRUE,6,6,0,ENSG00000204054.14:t:129503323-129504545_129498511-129503323,NA,NA,NA,NA,NA,+,ENST00000653047.1|ENST00000454968.5|ENST00000652803.1|ENST00000444184.6|ENST00000658785.1|ENST00000656664.1|ENST00000663727.1|ENST00000663000.1|ENST00000666041.1|ENST00000657306.1|ENST00000668074.1|ENST00000662331.1|ENST00000654822.1|ENST00000658175.1|ENST00000654204.1|ENST00000653700.1|ENST00000664811.1|ENST00000665998.1|ENST00000671609.1|ENST00000662047.1|ENST00000665880.1|ENST00000671555.1|ENST00000419300.3|ENST00000423918.5|ENST00000661101.1|ENST00000666559.1|ENST00000653386.1|ENST00000655962.1|ENST00000659690.1|ENST00000657389.1|ENST00000669088.1|ENST00000668206.1|ENST00000658999.1|ENST00000654286.1|ENST00000624138.4|ENST00000454635.6|ENST00000625171.4|ENST00000669210.1|ENST00000412141.2|ENST00000622680.2|ENST00000622120.2|ENST00000453213.2|ENST00000608272.2|ENST00000623185.4|ENST00000669939.1|ENST00000653436.1,ENSE00001597823.1|ENSE00001697014.1|ENSE00003874635.1|ENSE00003882622.1|ENSE00003887599.1|ENSE00003878888.1|ENSE00001622811.3|ENSE00003881207.1|ENSE00003727859.2|ENSE00003707088.1|ENSE00003754645.2,3|4|2,ENSG00000204054.14,ENSG00000204054.14,FALSE,novel_donor,Y
